name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
Edge-MoE,sharc-lab/Edge-MoE,https://github.com/sharc-lab/Edge-MoE,Edge-MoE: Memory-Efficient Multi-Task Vision Transformer Architecture with Task-level Sparsity via Mixture-of-Experts,5,2024-05-10T20:31:30Z,3,98,False,15,C++,74236,1.0,False,False,False,https://api.github.com/repos/sharc-lab/Edge-MoE/contributors,https://api.github.com/repos/sharc-lab/Edge-MoE/collaborators{/collaborator},2,edge_architecture
FedCache,wuzhiyuan2000/FedCache,https://github.com/wuzhiyuan2000/FedCache,[TMC 2024 Top 15 Popular Article] FedCache: A Knowledge Cache-driven Federated Learning Architecture for Personalized Edge Intelligence,54,2025-01-01T12:37:05Z,36,78,False,15,Python,3627,1.0,False,False,False,https://api.github.com/repos/wuzhiyuan2000/FedCache/contributors,https://api.github.com/repos/wuzhiyuan2000/FedCache/collaborators{/collaborator},1,edge_architecture
Galactic-Banking-Network,KOSASIH/Galactic-Banking-Network,https://github.com/KOSASIH/Galactic-Banking-Network,"A cutting-edge, high-tech autonomous banking network built with advanced security features, robust authentication, and authorization mechanisms. The GBN repository includes a modular architecture, secure communication protocols, and a robust incident response plan, making it a reliable and secure platform for financial transactions in the galaxy.",378,2024-10-26T06:17:57Z,378,26,False,0,Python,1043,1.0,False,False,False,https://api.github.com/repos/KOSASIH/Galactic-Banking-Network/contributors,https://api.github.com/repos/KOSASIH/Galactic-Banking-Network/collaborators{/collaborator},1,edge_architecture
Realtime-Data-Pipeline-for-Stock-Market-Analysis,Jimmymugendi/Realtime-Data-Pipeline-for-Stock-Market-Analysis,https://github.com/Jimmymugendi/Realtime-Data-Pipeline-for-Stock-Market-Analysis,"This repo demonstrates the development of a real-time data pipeline designed to ingest, process, and analyze stock market data. Using cutting-edge tools like Apache Kafka, PostgreSQL, and Python, the pipeline captures stock data in real-time and stores it in a robust data architecture, enabling timely analysis and insights.",4,2024-09-02T10:18:17Z,4,24,False,6,Python,10,1.0,False,False,False,https://api.github.com/repos/Jimmymugendi/Realtime-Data-Pipeline-for-Stock-Market-Analysis/contributors,https://api.github.com/repos/Jimmymugendi/Realtime-Data-Pipeline-for-Stock-Market-Analysis/collaborators{/collaborator},1,edge_architecture
android-development,AkashKobal/android-development,https://github.com/AkashKobal/android-development,"Welcome to our cutting-edge Android development repository! 🚀 This repository is a testament to innovation and best practices in Android app development. Utilizing the latest java features and following the recommended Repository Pattern, we ensure clean code separation and a robust architecture. ",72,2024-07-25T16:51:26Z,29,13,False,6,Java,4233,1.0,False,False,False,https://api.github.com/repos/AkashKobal/android-development/contributors,https://api.github.com/repos/AkashKobal/android-development/collaborators{/collaborator},1,edge_architecture
OmegaViT,Agora-Lab-AI/OmegaViT,https://github.com/Agora-Lab-AI/OmegaViT,"OmegaViT (ΩViT) is a cutting-edge vision transformer architecture that combines multi-query attention, rotary embeddings, state space modeling, and mixture of experts to achieve superior performance across various computer vision tasks. ",4,2025-01-13T01:29:06Z,4,11,False,0,Python,2272,1.0,False,False,False,https://api.github.com/repos/Agora-Lab-AI/OmegaViT/contributors,https://api.github.com/repos/Agora-Lab-AI/OmegaViT/collaborators{/collaborator},1,edge_architecture
