name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
ReEdgeGPT,Integration-Automation/ReEdgeGPT,https://github.com/Integration-Automation/ReEdgeGPT,Microsoft's Bing Chat AI,306,2024-12-18T10:04:54Z,150,166,False,30,Python,3132,1.0,False,True,False,https://api.github.com/repos/Integration-Automation/ReEdgeGPT/contributors,https://api.github.com/repos/Integration-Automation/ReEdgeGPT/collaborators{/collaborator},5,edge ai
agent-hub,DjangoPeng/agent-hub,https://github.com/DjangoPeng/agent-hub,"This repository is a hub for AI Agent projects, including GitHub Sentinel, LanguageMentor, and ChatPPT, designed to enhance enterprise workflows, language learning, and multimodal interaction. Explore a growing family of agents geared towards revolutionizing various industries with cutting-edge AI solutions.",25,2024-11-03T09:02:02Z,25,152,False,114,Shell,43,1.0,False,False,False,https://api.github.com/repos/DjangoPeng/agent-hub/contributors,https://api.github.com/repos/DjangoPeng/agent-hub/collaborators{/collaborator},1,edge ai
aiexe,kstost/aiexe,https://github.com/kstost/aiexe,"aiexe, the cutting-edge command-line interface (CLI/GUI) tool",119,2024-07-25T07:56:13Z,119,145,False,53,JavaScript,755,1.0,False,False,False,https://api.github.com/repos/kstost/aiexe/contributors,https://api.github.com/repos/kstost/aiexe/collaborators{/collaborator},2,edge ai
swan,turingmotors/swan,https://github.com/turingmotors/swan,"This project aims to enable language model inference on FPGAs, supporting AI applications in edge devices and environments with limited resources.",4,2024-04-27T06:57:16Z,4,140,False,3,C++,2440,1.0,False,False,False,https://api.github.com/repos/turingmotors/swan/contributors,https://api.github.com/repos/turingmotors/swan/collaborators{/collaborator},2,edge ai
edgeai-tidl-tools,TexasInstruments/edgeai-tidl-tools,https://github.com/TexasInstruments/edgeai-tidl-tools,Edgeai TIDL Tools and Examples - This repository contains Tools and example developed for Deep learning runtime (DLRT) offering provided by TI’s edge AI solutions. ,545,2024-12-20T10:43:48Z,158,139,False,34,Python,18878,1.0,False,False,False,https://api.github.com/repos/TexasInstruments/edgeai-tidl-tools/contributors,https://api.github.com/repos/TexasInstruments/edgeai-tidl-tools/collaborators{/collaborator},12,edge ai
toolmate,eliranwong/toolmate,https://github.com/eliranwong/toolmate,"ToolMate AI, developed by Eliran Wong, is a cutting-edge AI companion that seamlessly integrates agents, tools, and plugins to excel in conversations, generative work, and task execution. Supports custom workflow and plugins to automate multi-step actions.",333,2025-01-11T18:52:19Z,322,137,False,14,Python,41668,1.0,False,False,False,https://api.github.com/repos/eliranwong/toolmate/contributors,https://api.github.com/repos/eliranwong/toolmate/collaborators{/collaborator},2,edge ai
edgeai,TexasInstruments/edgeai,https://github.com/TexasInstruments/edgeai,Edge AI Software and Development Tools,53,2024-10-21T09:36:31Z,13,135,False,13,Shell,1554,1.0,False,False,False,https://api.github.com/repos/TexasInstruments/edgeai/contributors,https://api.github.com/repos/TexasInstruments/edgeai/collaborators{/collaborator},1,edge ai
Whatsapp_Instagram_Messanger_ChatGPT_OpenAI,JoseHenriqueSiqueira/Whatsapp_Instagram_Messanger_ChatGPT_OpenAI,https://github.com/JoseHenriqueSiqueira/Whatsapp_Instagram_Messanger_ChatGPT_OpenAI,"This repository showcases a ChatBot integrated with WhatsApp, using OpenAI API (such as ChatGPT). With it, you can interact with a highly trained language model to answer your questions and perform specific tasks quickly and efficiently. Don't miss the opportunity to experience cutting-edge AI technology directly on your WhatsApp.",17,2024-02-13T23:23:55Z,0,135,False,43,Python,180,1.0,False,False,False,https://api.github.com/repos/JoseHenriqueSiqueira/Whatsapp_Instagram_Messanger_ChatGPT_OpenAI/contributors,https://api.github.com/repos/JoseHenriqueSiqueira/Whatsapp_Instagram_Messanger_ChatGPT_OpenAI/collaborators{/collaborator},1,edge ai
shady.ai,BrutalCoding/shady.ai,https://github.com/BrutalCoding/shady.ai,Making offline AI models accessible to all types of edge devices.,55,2024-02-12T21:28:29Z,0,134,False,14,Dart,106367,1.0,False,False,False,https://api.github.com/repos/BrutalCoding/shady.ai/contributors,https://api.github.com/repos/BrutalCoding/shady.ai/collaborators{/collaborator},3,edge ai
holoscan-sdk,nvidia-holoscan/holoscan-sdk,https://github.com/nvidia-holoscan/holoscan-sdk,The AI sensor processing SDK for low latency streaming workflows,25,2025-01-10T05:24:47Z,11,124,False,32,C++,35639,1.0,False,False,False,https://api.github.com/repos/nvidia-holoscan/holoscan-sdk/contributors,https://api.github.com/repos/nvidia-holoscan/holoscan-sdk/collaborators{/collaborator},6,edge ai
