name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
Java-Interview-Tutorial,Java-Edge/Java-Interview-Tutorial,https://github.com/Java-Edge/Java-Interview-Tutorial,请star，勿fork，因为爱force push！涵盖国际大厂Java/数据库/DDD/设计模式/微服务/中间件/AI大模型应用/区块链开发最佳实践。关注公众号【JavaEdge】，一起交流学习！,214,2024-12-15T15:08:46Z,209,2716,False,480,Shell,58306,1.0,False,False,False,https://api.github.com/repos/Java-Edge/Java-Interview-Tutorial/contributors,https://api.github.com/repos/Java-Edge/Java-Interview-Tutorial/collaborators{/collaborator},4,edge ai architecture
OmegaViT,Agora-Lab-AI/OmegaViT,https://github.com/Agora-Lab-AI/OmegaViT,"OmegaViT (ΩViT) is a cutting-edge vision transformer architecture that combines multi-query attention, rotary embeddings, state space modeling, and mixture of experts to achieve superior performance across various computer vision tasks. ",4,2025-01-13T01:29:06Z,4,11,False,0,Python,2272,1.0,False,False,False,https://api.github.com/repos/Agora-Lab-AI/OmegaViT/contributors,https://api.github.com/repos/Agora-Lab-AI/OmegaViT/collaborators{/collaborator},1,edge ai architecture
